"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"JP4","Core_T106","142.75mm","122.5mm","142.75mm","122.5mm","135.678932mm","115.428932mm","T","45","Bridge",
"JP5","Core_T130","190.556mm","118.5mm","190.556mm","118.5mm","183.484932mm","111.428932mm","T","45","Bridge",
"K1","G2RL-1-E","27.75mm","9.75mm","27.75mm","9.75mm","27.75mm","9.75mm","T","45","G2RL-1-E",
"K2","G2RL-1-E","43.5mm","137.75mm","43.5mm","137.75mm","43.5mm","137.75mm","T","225","G2RL-1-E",
"K3","G2RL-1-E","72.5mm","10.0mm","72.5mm","10.0mm","72.5mm","10.0mm","T","45","G2RL-1-E",
"K4","G2RL-1-E","88.0mm","137.75mm","88.0mm","137.75mm","88.0mm","137.75mm","T","225","G2RL-1-E",
"K5","G2RL-1-E","115.25mm","9.75mm","115.25mm","9.75mm","115.25mm","9.75mm","T","45","G2RL-1-E",
"K6","G2RL-1-E","159.0mm","9.25mm","159.0mm","9.25mm","159.0mm","9.25mm","T","45","G2RL-1-E",
"K7","G2RL-1-E","132.25mm","138.0mm","132.25mm","138.0mm","132.25mm","138.0mm","T","225","G2RL-1-E",
"K8","G2RL-1-E","176.75mm","138.0mm","176.75mm","138.0mm","176.75mm","138.0mm","T","225","G2RL-1-E",
"L1","Core_T106","24.0mm","94.5mm","24.0mm","94.5mm","31.071068mm","87.428932mm","T","135","420nH 6T@T106-6",
"L10","Core_T106","156.75mm","94.5mm","156.75mm","94.5mm","163.821068mm","87.428932mm","T","135","2.48uH 15T@T106-2",
"L11","Core_T106","142.75mm","66.0mm","142.75mm","66.0mm","135.678932mm","58.928932mm","T","45","2.48uH 15T@T106-2",
"L12","Core_T106","156.75mm","37.0mm","156.75mm","37.0mm","163.821068mm","29.928932mm","T","135","2.48uH 15T@T106-2",
"L13","Core_T130","204.75mm","90.5mm","204.75mm","90.5mm","211.821068mm","83.428932mm","T","135","4.4uH 20T@T130-2",
"L14","Core_T130","190.75mm","62.5mm","190.75mm","62.5mm","183.678932mm","55.428932mm","T","45","5.32uH 22T@T130-2",
"L15","Core_T130","204.75mm","34.5mm","204.75mm","34.5mm","211.821068mm","27.428932mm","T","135","4.4uH 20T@T130-2",
"L2","Core_T106","9.75mm","66.0mm","9.75mm","66.0mm","2.678932mm","58.928932mm","T","45","570nH 7T@T106-6",
"L3","Core_T106","24.0mm","37.0mm","24.0mm","37.0mm","31.071068mm","29.928932mm","T","135","420nH 6T@T106-6",
"L4","Core_T106","68.5mm","94.5mm","68.5mm","94.5mm","75.571068mm","87.428932mm","T","135","570nH 7T@T106-6",
"L5","Core_T106","54.25mm","66.0mm","54.25mm","66.0mm","47.178932mm","58.928932mm","T","45","740nH 8T@T106-6",
"L6","Core_T106","68.5mm","37.0mm","68.5mm","37.0mm","75.571068mm","29.928932mm","T","135","570nH 7T@T106-6",
"L7","Core_T106","112.75mm","94.5mm","112.75mm","94.5mm","119.821068mm","87.428932mm","T","135","940nH 9T@T106-6",
"L8","Core_T106","98.75mm","66.0mm","98.75mm","66.0mm","91.678932mm","58.928932mm","T","45","1.16uH 10T@T106-6",
"L9","Core_T106","113.0mm","37.0mm","113.0mm","37.0mm","120.071068mm","29.928932mm","T","135","940nH 9T@T106-6",
"SC","M3_Screwhole","23.0mm","5.0mm","23.0mm","5.0mm","25.05681mm","6.1875mm","T","0","GND",
"SC2","M3_Screwhole","29.0mm","145.0mm","29.0mm","145.0mm","31.05681mm","146.1875mm","T","0","GND",
"SC3","M3_Screwhole","215.0mm","5.0mm","215.0mm","5.0mm","217.05681mm","6.1875mm","T","0","GND",
"SC4","M3_Screwhole","215.0mm","145.0mm","215.0mm","145.0mm","217.05681mm","146.1875mm","T","0","GND",
