"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"J15","Pin_Header_Straight_1x02_Pitch2.54mm","77.25mm","96.75mm","77.25mm","96.75mm","77.25mm","96.75mm","B","90","Conn_01x02",
"J16","Pin_Header_Straight_1x02_Pitch2.54mm","84.25mm","96.75mm","84.25mm","96.75mm","84.25mm","96.75mm","B","90","Conn_01x02",
"J17","JST_XH_B04B-XH-A_04x2.50mm_Straight","38.75mm","3.0mm","38.75mm","3.0mm","38.75mm","3.0mm","B","0","Conn_01x04",
"J18","Pin_Header_Straight_1x02_Pitch2.54mm","102.75mm","96.75mm","102.75mm","96.75mm","102.75mm","96.75mm","B","270","Conn_01x02",
"J19","BARREL_JACK","12.5mm","91.25mm","12.5mm","91.25mm","12.5mm","91.25mm","B","270","Barrel_Jack_Switch",
"J2","JST_XH_B08B-XH-A_08x2.50mm_Straight","102.0mm","3.0mm","102.0mm","3.0mm","102.0mm","3.0mm","B","0","Conn_01x08",
"J20","JST_XH_B02B-XH-A_02x2.50mm_Straight","21.5mm","2.75mm","21.5mm","2.75mm","21.5mm","2.75mm","B","0","CAN",
"J4","Pin_Header_Straight_1x04_Pitch2.54mm","44.643mm","64.12mm","44.643mm","64.12mm","44.643mm","64.12mm","B","45","Conn_01x04",
"J5","JST_XH_B04B-XH-A_04x2.50mm_Straight","125.0mm","86.5mm","125.0mm","86.5mm","125.0mm","86.5mm","B","270","Conn_01x04",
"J6","JST_XH_B02B-XH-A_02x2.50mm_Straight","125.0mm","72.5mm","125.0mm","72.5mm","125.0mm","72.5mm","B","270","Conn_01x02",
"J7","JST_XH_B02B-XH-A_02x2.50mm_Straight","125.0mm","63.5mm","125.0mm","63.5mm","125.0mm","63.5mm","B","270","Conn_01x02",
"J8","JST_XH_B06B-XH-A_06x2.50mm_Straight","125.0mm","54.5mm","125.0mm","54.5mm","125.0mm","54.5mm","B","270","Conn_01x06",
"J9","JST_XH_B06B-XH-A_06x2.50mm_Straight","125.0mm","35.5mm","125.0mm","35.5mm","125.0mm","35.5mm","B","270","Conn_01x06",
"M1","JST_XH_B02B-XH-A_02x2.50mm_Straight","55.5mm","95.75mm","55.5mm","95.75mm","55.5mm","95.75mm","B","0","Fan",
"M2","JST_XH_B02B-XH-A_02x2.50mm_Straight","64.5mm","95.75mm","64.5mm","95.75mm","64.5mm","95.75mm","B","0","Fan",
"RV1","3362P","111.5mm","16.0mm","111.5mm","16.0mm","108.96mm","16.0mm","B","0","10K",
"U11","DIP-4","94.5mm","84.0mm","94.5mm","84.0mm","95.77mm","80.19mm","B","90","PC817",
